countyfp,NAME,Male_under_5E,Male_under_5M,Male_5_to_9E,Male_5_to_9M,Male_10_to_14E,Male_10_to_14M,Male_15_to_17E,Male_15_to_17M,Female_under_5E,Female_under_5M,Female_5_to_9E,Female_5_to_9M,Female_10_to_14E,Female_10_to_14M,Female_15_to_17E,Female_15_to_17M,Sex_By_Age_TotalE,Sex_By_Age_TotalM,Male_65_to_66E,Male_65_to_66M,Male_67_to_69E,Male_67_to_69M,Male_70_to_74E,Male_70_to_74M,Male_75_to_79E,Male_75_to_79M,Male_80_to_84E,Male_80_to_84M,Male_85_and_overE,Male_85_and_overM,Female_65_to_66E,Female_65_to_66M,Female_67_to_69E,Female_67_to_69M,Female_70_to_74E,Female_70_to_74M,Female_75_to_79E,Female_75_to_79M,Female_80_to_84E,Female_80_to_84M,Female_85_and_overE,Female_85_and_overM,Median_AgeE,Median_AgeM,AsianAloneE,AsianAloneM,BlackAloneE,BlackAloneM,GEO_ID,state,tract,block group,WhiteAloneE,WhiteAloneM,HispanicAloneE,HispanicAloneM,AmericanIndianAloneE,AmericanIndianAloneM,NativeHawaiianAloneE,NativeHawaiianAloneM,SomeOtherRaceAloneE,SomeOtherRaceAloneM,TwoorMoreRacesAloneE,TwoorMoreRacesAloneM,TwoorMoreRacesIncludingSomeotherRaceAloneE,TwoorMoreRacesIncludingSomeotherRaceAloneM,TwoorMoreRacesExcludingSomeotherRaceAloneE,TwoorMoreRacesExcludingSomeotherRaceAloneM,TotalRaceE,TotalRaceM,DroveAloneE,DroveAloneM,TotalTransportationE,TotalTransportationM,Drove_20_to_24E,Drove_20_to_24M,Drove_25_to_29E,Drove_25_to_29M,Drove_30_to_34E,Drove_30_to_34M,Drove_35_to_44E,Drove_35_to_44M,Drove_45_to_59E,Drove_45_to_59M,Drove_60_or_MoreE,Drove_60_or_MoreM,Kindergaten_MaleE,Kindergaten_MaleM,Grade_1_to_4_MaleE,Grade_1_to_4_MaleM,Grade_5_to_8_MaleE,Grade_5_to_8_MaleM,Grade_9_to_12_MaleE,Grade_9_to_12_MaleM,Kindergaten_FemaleE,Kindergaten_FemaleM,Grade_1_to_4_FemaleE,Grade_1_to_4_FemaleM,Grade_5_to_8_FemaleE,Grade_5_to_8_FemaleM,Grade_9_to_12_FemaleE,Grade_9_to_12_FemaleM,Kindergaten_TotalMaleE,Kindergaten_TotalMaleM,Grade_1_to_4_TotalMaleE,Grade_1_to_4_TotalMaleM,Grade_5_to_8_TotalMaleE,Grade_5_to_8_TotalMaleM,Grade_9_to_12_TotalMaleE,Grade_9_to_12_TotalMaleM,Kindergaten_TotalFemaleE,Kindergaten_TotalFemaleM,Grade_1_to_4_TotalFemaleE,Grade_1_to_4_TotalFemaleM,Grade_5_to_8_TotalFemaleE,Grade_5_to_8_TotalFemaleM,Grade_9_to_12_TotalFemaleE,Grade_9_to_12_TotalFemaleM,NoSchoolingE,NoSchoolingM,HighSchoolDiplomaE,HighSchoolDiplomaM,GEDorAlternativeE,GEDorAlternativeM,SomeCollegeLessThan1YearE,SomeCollegeLessThan1YearM,SomeCollege1orMoreYearsNoDegreeE,SomeCollege1orMoreYearsNoDegreeM,AssociateDegreeE,AssociateDegreeM,BachelorsDegreeE,BachelorsDegreeM,MastersDegreeE,MastersDegreeM,ProfessionalSchoolDegreeE,ProfessionalSchoolDegreeM,DoctorateDegreeE,DoctorateDegreeM,TotalEducationAttainmentE,TotalEducationAttainmentM,MedianHouseholdIncomeE,MedianHouseholdIncomeM,VeteranE,VeteranM,TotalVeteranE,TotalVeteranM,CivilianInLaborForceEmployedE,CivilianInLaborForceEmployedM,TotalInLaborForceE,TotalInLaborForceM,VacantE,VacantM,TotalOccupancyE,TotalOccupancyM,OccupiedE,OccupiedM,RenterOccupiedNoVehicleE,RenterOccupiedNoVehicleM,OwnerOccupiedNoVehicleE,OwnerOccupiedNoVehicleM,TotalVehicleByTenureE,TotalVehicleByTenureM,TotalGrossRentE,TotalGrossRentM,OwnerOccupiedE,OwnerOccupiedM,TotalOwnerOccupiedE,TotalOwnerOccupiedM,BroadbandE,BroadbandM,TotalBroadbandE,TotalBroadbandM
007,"Block Group 1, Census Tract 9201, Anson County, North CarolinaBlock Group 2, Census Tract 9201, Anson County, North CarolinaBlock Group 3, Census Tract 9201, Anson County, North CarolinaBlock Group 1, Census Tract 9202, Anson County, North CarolinaBlock Group 1, Census Tract 9203.01, Anson County, North CarolinaBlock Group 2, Census Tract 9203.01, Anson County, North CarolinaBlock Group 3, Census Tract 9203.01, Anson County, North CarolinaBlock Group 1, Census Tract 9203.02, Anson County, North CarolinaBlock Group 1, Census Tract 9204, Anson County, North CarolinaBlock Group 2, Census Tract 9204, Anson County, North CarolinaBlock Group 3, Census Tract 9204, Anson County, North CarolinaBlock Group 1, Census Tract 9205.01, Anson County, North CarolinaBlock Group 1, Census Tract 9205.02, Anson County, North CarolinaBlock Group 2, Census Tract 9205.02, Anson County, North CarolinaBlock Group 3, Census Tract 9205.02, Anson County, North CarolinaBlock Group 4, Census Tract 9205.02, Anson County, North CarolinaBlock Group 1, Census Tract 9206, Anson County, North CarolinaBlock Group 2, Census Tract 9206, Anson County, North CarolinaBlock Group 3, Census Tract 9206, Anson County, North CarolinaBlock Group 1, Census Tract 9800, Anson County, North Carolina",611,751,551,745,752,935,435,541,569,775,708,837,832,894,418,546,24430,6690,360,532,422,580,509,557,327,420,175,372,179,338,474,629,449,534,518,505,498,648,333,479,308,505,826.0,239.0,315,511,11775,5047,1500000US3700792010011500000US3700792010021500000US3700792010031500000US3700792020011500000US3700792030111500000US3700792030121500000US3700792030131500000US3700792030211500000US3700792040011500000US3700792040021500000US3700792040031500000US3700792050111500000US3700792050211500000US3700792050221500000US3700792050231500000US3700792050241500000US3700792060011500000US3700792060021500000US3700792060031500000US370079800001,3737373737373737373737373737373737373737,920100920100920100920200920301920301920301920302920400920400920400920501920502920502920502920502920600920600920600980000,12311231123112341231,10905,3900,1002,1126,56,282,8,261,17,261,352,553,6,257,346,550,24430,6690,8436,3441,9972,3770,837,957,431,516,1601,1313,805,874,1054,1126,806,924,80,360,49,316,38,291,46,278,0,260,52,316,20,278,54,290,135,394,606,835,518,771,590,631,127,370,558,722,750,821,471,568,105,338,5994,2644,985,849,1199,958,2574,1614,1591,1255,1391,1068,492,581,15,258,54,280,17637,4918,829801.0,314509.0,1421,1109,19528,5358,10353,3820,11211,4133,1853,1396,11656,2900,9803,2732,349,539,340,515,9803,2732,3247,1806,6556,2257,9803,2732,5834,2296,9803,2732
023,"Block Group 1, Census Tract 201, Chester County, South CarolinaBlock Group 2, Census Tract 201, Chester County, South CarolinaBlock Group 1, Census Tract 202, Chester County, South CarolinaBlock Group 2, Census Tract 202, Chester County, South CarolinaBlock Group 3, Census Tract 202, Chester County, South CarolinaBlock Group 4, Census Tract 202, Chester County, South CarolinaBlock Group 1, Census Tract 203, Chester County, South CarolinaBlock Group 2, Census Tract 203, Chester County, South CarolinaBlock Group 3, Census Tract 203, Chester County, South CarolinaBlock Group 4, Census Tract 203, Chester County, South CarolinaBlock Group 1, Census Tract 204, Chester County, South CarolinaBlock Group 2, Census Tract 204, Chester County, South CarolinaBlock Group 1, Census Tract 205, Chester County, South CarolinaBlock Group 2, Census Tract 205, Chester County, South CarolinaBlock Group 3, Census Tract 205, Chester County, South CarolinaBlock Group 1, Census Tract 206.01, Chester County, South CarolinaBlock Group 2, Census Tract 206.01, Chester County, South CarolinaBlock Group 3, Census Tract 206.01, Chester County, South CarolinaBlock Group 1, Census Tract 206.02, Chester County, South CarolinaBlock Group 2, Census Tract 206.02, Chester County, South CarolinaBlock Group 1, Census Tract 207, Chester County, South CarolinaBlock Group 2, Census Tract 207, Chester County, South CarolinaBlock Group 1, Census Tract 208, Chester County, South CarolinaBlock Group 2, Census Tract 208, Chester County, South CarolinaBlock Group 3, Census Tract 208, Chester County, South CarolinaBlock Group 1, Census Tract 209, Chester County, South CarolinaBlock Group 2, Census Tract 209, Chester County, South CarolinaBlock Group 1, Census Tract 210, Chester County, South CarolinaBlock Group 2, Census Tract 210, Chester County, South CarolinaBlock Group 3, Census Tract 210, Chester County, South Carolina",923,1169,1067,1213,1167,1333,667,834,896,1156,982,1184,950,1059,567,823,32260,9943,328,535,627,671,717,764,619,688,164,422,164,436,340,516,804,818,763,722,574,719,465,612,391,592,1221.0,352.0,151,541,11875,6207,1500000US4502302010011500000US4502302010021500000US4502302020011500000US4502302020021500000US4502302020031500000US4502302020041500000US4502302030011500000US4502302030021500000US4502302030031500000US4502302030041500000US4502302040011500000US4502302040021500000US4502302050011500000US4502302050021500000US4502302050031500000US4502302060111500000US4502302060121500000US4502302060131500000US4502302060211500000US4502302060221500000US4502302070011500000US4502302070021500000US4502302080011500000US4502302080021500000US4502302080031500000US4502302090011500000US4502302090021500000US4502302100011500000US4502302100021500000US450230210003,454545454545454545454545454545454545454545454545454545454545,020100020100020200020200020200020200020300020300020300020300020400020400020500020500020500020601020601020601020602020602020700020700020800020800020800020900020900021000021000021000,121234123412123123121212312123,18868,6654,670,1049,123,483,0,390,14,389,559,838,0,390,559,838,32260,9943,11113,4630,12808,5094,1569,1479,587,770,2130,1689,1043,986,1822,1575,960,987,0,390,0,390,13,388,47,398,58,445,2,382,44,427,27,410,207,588,840,1045,888,1098,993,1084,395,703,715,1000,701,917,687,909,284,519,7987,3436,1192,1127,1356,1163,3059,2048,2166,1605,2121,1565,763,837,141,460,62,391,22513,6323,1338018.0,580235.0,2002,1274,25041,7118,13412,5194,14109,5410,1911,1668,14772,3573,12861,3367,457,677,650,775,12861,3367,2728,1690,10133,2968,12861,3367,5698,2434,12861,3367
025,"Block Group 1, Census Tract 405.01, Cabarrus County, North CarolinaBlock Group 2, Census Tract 405.01, Cabarrus County, North CarolinaBlock Group 3, Census Tract 405.01, Cabarrus County, North CarolinaBlock Group 4, Census Tract 405.01, Cabarrus County, North CarolinaBlock Group 5, Census Tract 405.01, Cabarrus County, North CarolinaBlock Group 1, Census Tract 405.02, Cabarrus County, North CarolinaBlock Group 2, Census Tract 405.02, Cabarrus County, North CarolinaBlock Group 3, Census Tract 405.02, Cabarrus County, North CarolinaBlock Group 1, Census Tract 406, Cabarrus County, North CarolinaBlock Group 2, Census Tract 406, Cabarrus County, North CarolinaBlock Group 3, Census Tract 406, Cabarrus County, North CarolinaBlock Group 4, Census Tract 406, Cabarrus County, North CarolinaBlock Group 1, Census Tract 407.01, Cabarrus County, North CarolinaBlock Group 2, Census Tract 407.01, Cabarrus County, North CarolinaBlock Group 1, Census Tract 407.03, Cabarrus County, North CarolinaBlock Group 2, Census Tract 407.03, Cabarrus County, North CarolinaBlock Group 1, Census Tract 407.04, Cabarrus County, North CarolinaBlock Group 2, Census Tract 407.04, Cabarrus County, North CarolinaBlock Group 1, Census Tract 407.05, Cabarrus County, North CarolinaBlock Group 2, Census Tract 407.05, Cabarrus County, North CarolinaBlock Group 1, Census Tract 408, Cabarrus County, North CarolinaBlock Group 2, Census Tract 408, Cabarrus County, North CarolinaBlock Group 3, Census Tract 408, Cabarrus County, North CarolinaBlock Group 1, Census Tract 409, Cabarrus County, North CarolinaBlock Group 1, Census Tract 410.01, Cabarrus County, North CarolinaBlock Group 2, Census Tract 410.01, Cabarrus County, North CarolinaBlock Group 1, Census Tract 410.02, Cabarrus County, North CarolinaBlock Group 2, Census Tract 410.02, Cabarrus County, North CarolinaBlock Group 1, Census Tract 411, Cabarrus County, North CarolinaBlock Group 2, Census Tract 411, Cabarrus County, North CarolinaBlock Group 3, Census Tract 411, Cabarrus County, North CarolinaBlock Group 4, Census Tract 411, Cabarrus County, North CarolinaBlock Group 1, Census Tract 412.01, Cabarrus County, North CarolinaBlock Group 2, Census Tract 412.01, Cabarrus County, North CarolinaBlock Group 1, Census Tract 412.02, Cabarrus County, North CarolinaBlock Group 2, Census Tract 412.02, Cabarrus County, North CarolinaBlock Group 3, Census Tract 412.02, Cabarrus County, North CarolinaBlock Group 1, Census Tract 413.01, Cabarrus County, North CarolinaBlock Group 2, Census Tract 413.01, Cabarrus County, North CarolinaBlock Group 1, Census Tract 413.04, Cabarrus County, North CarolinaBlock Group 2, Census Tract 413.04, Cabarrus County, North CarolinaBlock Group 1, Census Tract 413.05, Cabarrus County, North CarolinaBlock Group 2, Census Tract 413.05, Cabarrus County, North CarolinaBlock Group 1, Census Tract 413.06, Cabarrus County, North CarolinaBlock Group 2, Census Tract 413.06, Cabarrus County, North CarolinaBlock Group 1, Census Tract 413.07, Cabarrus County, North CarolinaBlock Group 2, Census Tract 413.07, Cabarrus County, North CarolinaBlock Group 3, Census Tract 413.07, Cabarrus County, North CarolinaBlock Group 1, Census Tract 415.03, Cabarrus County, North CarolinaBlock Group 1, Census Tract 415.04, Cabarrus County, North CarolinaBlock Group 2, Census Tract 415.04, Cabarrus County, North CarolinaBlock Group 1, Census Tract 415.05, Cabarrus County, North CarolinaBlock Group 2, Census Tract 415.05, Cabarrus County, North CarolinaBlock Group 3, Census Tract 415.05, Cabarrus County, North CarolinaBlock Group 1, Census Tract 415.06, Cabarrus County, North CarolinaBlock Group 2, Census Tract 415.06, Cabarrus County, North CarolinaBlock Group 1, Census Tract 415.07, Cabarrus County, North CarolinaBlock Group 2, Census Tract 415.07, Cabarrus County, North CarolinaBlock Group 1, Census Tract 416.02, Cabarrus County, North CarolinaBlock Group 2, Census Tract 416.02, Cabarrus County, North CarolinaBlock Group 1, Census Tract 416.03, Cabarrus County, North CarolinaBlock Group 2, Census Tract 416.03, Cabarrus County, North CarolinaBlock Group 1, Census Tract 416.04, Cabarrus County, North CarolinaBlock Group 2, Census Tract 416.04, Cabarrus County, North CarolinaBlock Group 3, Census Tract 416.04, Cabarrus County, North CarolinaBlock Group 4, Census Tract 416.04, Cabarrus County, North CarolinaBlock Group 1, Census Tract 417.01, Cabarrus County, North CarolinaBlock Group 2, Census Tract 417.01, Cabarrus County, North CarolinaBlock Group 3, Census Tract 417.01, Cabarrus County, North CarolinaBlock Group 1, Census Tract 417.02, Cabarrus County, North CarolinaBlock Group 2, Census Tract 417.02, Cabarrus County, North CarolinaBlock Group 3, Census Tract 417.02, Cabarrus County, North CarolinaBlock Group 1, Census Tract 419.01, Cabarrus County, North CarolinaBlock Group 2, Census Tract 419.01, Cabarrus County, North CarolinaBlock Group 1, Census Tract 419.02, Cabarrus County, North CarolinaBlock Group 2, Census Tract 419.02, Cabarrus County, North CarolinaBlock Group 3, Census Tract 419.02, Cabarrus County, North CarolinaBlock Group 1, Census Tract 420, Cabarrus County, North CarolinaBlock Group 2, Census Tract 420, Cabarrus County, North CarolinaBlock Group 3, Census Tract 420, Cabarrus County, North CarolinaBlock Group 1, Census Tract 421.01, Cabarrus County, North CarolinaBlock Group 2, Census Tract 421.01, Cabarrus County, North CarolinaBlock Group 3, Census Tract 421.01, Cabarrus County, North CarolinaBlock Group 4, Census Tract 421.01, Cabarrus County, North CarolinaBlock Group 1, Census Tract 421.02, Cabarrus County, North CarolinaBlock Group 2, Census Tract 421.02, Cabarrus County, North CarolinaBlock Group 1, Census Tract 422.01, Cabarrus County, North CarolinaBlock Group 2, Census Tract 422.01, Cabarrus County, North CarolinaBlock Group 3, Census Tract 422.01, Cabarrus County, North CarolinaBlock Group 1, Census Tract 422.02, Cabarrus County, North CarolinaBlock Group 2, Census Tract 422.02, Cabarrus County, North CarolinaBlock Group 3, Census Tract 422.02, Cabarrus County, North CarolinaBlock Group 1, Census Tract 423, Cabarrus County, North CarolinaBlock Group 2, Census Tract 423, Cabarrus County, North CarolinaBlock Group 3, Census Tract 423, Cabarrus County, North CarolinaBlock Group 1, Census Tract 424.01, Cabarrus County, North CarolinaBlock Group 2, Census Tract 424.01, Cabarrus County, North CarolinaBlock Group 1, Census Tract 424.02, Cabarrus County, North CarolinaBlock Group 2, Census Tract 424.02, Cabarrus County, North CarolinaBlock Group 3, Census Tract 424.02, Cabarrus County, North CarolinaBlock Group 4, Census Tract 424.02, Cabarrus County, North CarolinaBlock Group 1, Census Tract 425.01, Cabarrus County, North CarolinaBlock Group 2, Census Tract 425.01, Cabarrus County, North CarolinaBlock Group 1, Census Tract 425.02, Cabarrus County, North CarolinaBlock Group 2, Census Tract 425.02, Cabarrus County, North CarolinaBlock Group 1, Census Tract 425.03, Cabarrus County, North CarolinaBlock Group 2, Census Tract 425.03, Cabarrus County, North CarolinaBlock Group 1, Census Tract 425.04, Cabarrus County, North CarolinaBlock Group 1, Census Tract 426.01, Cabarrus County, North CarolinaBlock Group 2, Census Tract 426.01, Cabarrus County, North CarolinaBlock Group 3, Census Tract 426.01, Cabarrus County, North CarolinaBlock Group 1, Census Tract 426.02, Cabarrus County, North CarolinaBlock Group 2, Census Tract 426.02, Cabarrus County, North CarolinaBlock Group 1, Census Tract 426.03, Cabarrus County, North CarolinaBlock Group 2, Census Tract 426.03, Cabarrus County, North CarolinaBlock Group 3, Census Tract 426.03, Cabarrus County, North CarolinaBlock Group 4, Census Tract 426.03, Cabarrus County, North CarolinaBlock Group 1, Census Tract 426.04, Cabarrus County, North CarolinaBlock Group 2, Census Tract 426.04, Cabarrus County, North CarolinaBlock Group 3, Census Tract 426.04, Cabarrus County, North Carolina",6941,7202,7159,7000,8835,8379,4966,5341,6480,6897,6899,7164,8177,7501,4732,5439,211605,61891,1597,2710,2536,3289,3662,3892,1882,2893,1133,2327,1305,2685,1992,2917,2709,3465,4445,4585,2890,3647,1694,2686,2095,3012,4622.0,1113.0,8780,8069,38402,26812,1500000US3702504050111500000US3702504050121500000US3702504050131500000US3702504050141500000US3702504050151500000US3702504050211500000US3702504050221500000US3702504050231500000US3702504060011500000US3702504060021500000US3702504060031500000US3702504060041500000US3702504070111500000US3702504070121500000US3702504070311500000US3702504070321500000US3702504070411500000US3702504070421500000US3702504070511500000US3702504070521500000US3702504080011500000US3702504080021500000US3702504080031500000US3702504090011500000US3702504100111500000US3702504100121500000US3702504100211500000US3702504100221500000US3702504110011500000US3702504110021500000US3702504110031500000US3702504110041500000US3702504120111500000US3702504120121500000US3702504120211500000US3702504120221500000US3702504120231500000US3702504130111500000US3702504130121500000US3702504130411500000US3702504130421500000US3702504130511500000US3702504130521500000US3702504130611500000US3702504130621500000US3702504130711500000US3702504130721500000US3702504130731500000US3702504150311500000US3702504150411500000US3702504150421500000US3702504150511500000US3702504150521500000US3702504150531500000US3702504150611500000US3702504150621500000US3702504150711500000US3702504150721500000US3702504160211500000US3702504160221500000US3702504160311500000US3702504160321500000US3702504160411500000US3702504160421500000US3702504160431500000US3702504160441500000US3702504170111500000US3702504170121500000US3702504170131500000US3702504170211500000US3702504170221500000US3702504170231500000US3702504190111500000US3702504190121500000US3702504190211500000US3702504190221500000US3702504190231500000US3702504200011500000US3702504200021500000US3702504200031500000US3702504210111500000US3702504210121500000US3702504210131500000US3702504210141500000US3702504210211500000US3702504210221500000US3702504220111500000US3702504220121500000US3702504220131500000US3702504220211500000US3702504220221500000US3702504220231500000US3702504230011500000US3702504230021500000US3702504230031500000US3702504240111500000US3702504240121500000US3702504240211500000US3702504240221500000US3702504240231500000US3702504240241500000US3702504250111500000US3702504250121500000US3702504250211500000US3702504250221500000US3702504250311500000US3702504250321500000US3702504250411500000US3702504260111500000US3702504260121500000US3702504260131500000US3702504260211500000US3702504260221500000US3702504260311500000US3702504260321500000US3702504260331500000US3702504260341500000US3702504260411500000US3702504260421500000US370250426043,373737373737373737373737373737373737373737373737373737373737373737373737373737373737373737373737373737373737373737373737373737373737373737373737373737373737373737373737373737373737373737373737373737373737373737373737373737373737373737373737,040501040501040501040501040501040502040502040502040600040600040600040600040701040701040703040703040704040704040705040705040800040800040800040900041001041001041002041002041100041100041100041100041201041201041202041202041202041301041301041304041304041305041305041306041306041307041307041307041503041504041504041505041505041505041506041506041507041507041602041602041603041603041604041604041604041604041701041701041701041702041702041702041901041901041902041902041902042000042000042000042101042101042101042101042102042102042201042201042201042202042202042202042300042300042300042401042401042402042402042402042402042501042501042502042502042503042503042504042601042601042601042602042602042603042603042603042603042604042604042604,123451231234121212121231121212341212312121212123112123121212121234123123121231231234121231231231212341212121123121234123,135642,45929,22444,20384,497,2044,128,1698,1197,3021,4515,6095,628,2399,3887,5521,211605,61891,82796,30125,94622,32832,11781,9366,7501,7066,15149,11101,8887,8077,11327,9450,5527,5765,105,1629,315,1899,346,1811,350,1827,116,1651,323,1830,707,2202,558,2052,1124,2539,6250,6829,6470,6470,6896,6677,850,2278,5679,6369,6386,6255,6603,6652,1697,3200,30116,16776,5605,6031,10668,8609,20258,13419,13579,9798,29881,14916,13438,9253,2217,3337,1587,2921,140582,39226,8362526.0,2640529.0,11806,8545,157275,44167,105370,35335,111024,36871,8259,8083,81102,19755,72843,18929,1802,2925,1150,2496,72843,18929,19683,10762,53160,16302,72843,18929,56105,16432,72843,18929
